Repo Name,Stars,Watches,Forks,Issues,Issues (Internal),Issues (External),Open Issues,Stale Issues (No activity for >14 days),% Stale Issues,Old Issues (Open for >120 days),% Old Issues,% Issues Closed by Pull Request,Average Issue Open Time (Days),Pull Requests,Pull Requests (Internal),Pull Requests (External),Open Pull Requests,Average Pull Request Time to Merge (Days),Contributors (All Time),Contributors (All Time - Internal),Contributors (All Time - External),Issues Opened,Issues Opened (Internal),Issues Opened (External),Issues Opened (First Time Contributor),Issues Closed,Pull Requests Opened,Pull Requests Opened (Internal),Pull Requests Opened (External),Pull Requests Opened (First Time Contributor),Pull Requests Merged,Pull Requests Closed,Contributors (This Period),Contributors (This Period - Internal),Contributors (This Period - External),Contributors (This Period - First Time Contributor)
WxDE,0,14,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,22,15,7,2,9,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-cloud,22,12,15,13,12,1,7,7,100%,7,100%,0%,35,55,49,6,1,9,14,10,4,0,0,0,0,0,2,2,0,0,2,0,2,2,0,0
carma-platform,403,47,118,1125,610,515,263,262,100%,255,97%,15%,96,1265,723,537,6,5,51,26,25,0,0,0,0,2,11,11,0,0,11,1,5,5,0,0
CARMAConcept,2,9,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-msgs,6,9,9,13,0,13,4,4,100%,4,100%,67%,15,231,114,117,1,3,30,17,13,0,0,0,0,0,5,5,0,0,4,0,3,3,0,0
carma-utils,2,10,5,23,7,16,6,6,100%,6,100%,65%,8,208,98,109,3,4,24,13,11,0,0,0,0,0,4,4,0,0,5,0,3,3,0,0
carma-torc-pinpoint-driver,1,9,2,1,1,0,0,0,N/A,0,N/A,0%,0,46,26,20,1,1,16,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-torc-xgv-controller-driver,1,10,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,18,4,14,0,1,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-cadillac-srx-2013-controller-driver,0,9,1,0,0,0,0,0,N/A,0,N/A,N/A,N/A,24,6,18,0,1,8,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-freightliner-2012-controller-driver,0,9,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,19,4,15,0,1,7,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-cohda-dsrc-driver,12,9,10,4,1,3,1,1,100%,1,100%,0%,271,115,55,60,1,4,23,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-web-ui,4,10,4,6,2,4,0,0,N/A,0,N/A,33%,65,160,112,48,0,4,19,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-delphi-esr-driver,4,9,2,2,0,2,1,1,100%,1,100%,0%,2,61,39,22,0,3,13,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-delphi-srr2-driver,0,9,0,1,0,1,0,0,N/A,0,N/A,0%,2,64,35,29,1,3,11,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
avt_vimba_camera,3,6,1,0,0,0,0,0,N/A,0,N/A,N/A,N/A,101,46,55,0,6,16,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-vehicle-model-framework,5,10,3,0,0,0,0,0,N/A,0,N/A,N/A,N/A,66,37,29,0,3,12,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novatel_gps_driver,1,5,4,0,0,0,0,0,N/A,0,N/A,N/A,N/A,110,40,70,0,3,15,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-velodyne-lidar-driver,0,9,2,2,0,2,0,0,N/A,0,N/A,50%,0,113,54,59,0,3,19,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
autoware.ai,5,7,13,2,1,1,2,2,100%,2,100%,N/A,N/A,262,121,141,2,3,24,12,12,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0
carma-ssc-interface-wrapper,1,15,6,7,3,4,2,2,100%,2,100%,20%,12,148,57,91,2,3,20,10,10,0,0,0,0,0,4,4,0,0,3,0,3,3,0,0
carma-base,1,15,6,8,0,8,0,0,N/A,0,N/A,38%,9,190,70,120,1,2,25,13,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
carma-config,4,13,11,9,3,6,2,2,100%,2,100%,29%,10,377,252,125,6,3,30,16,14,0,0,0,0,0,5,5,0,0,7,1,4,4,0,0
carma-garmin-lidar-lite-v3-driver-wrapper,1,9,2,1,0,1,0,0,N/A,0,N/A,0%,0,86,42,44,0,5,14,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-messenger,14,12,11,17,15,2,5,5,100%,5,100%,17%,17,222,155,64,1,5,26,14,12,0,0,0,0,0,3,3,0,0,3,0,2,2,0,0
carma-1-tenth,12,12,6,0,0,0,0,0,N/A,0,N/A,N/A,N/A,2,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
opendrive2lanelet,29,4,9,0,0,0,0,0,N/A,0,N/A,N/A,N/A,22,14,8,2,5,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-lightbar-driver,1,10,1,0,0,0,0,0,N/A,0,N/A,N/A,N/A,75,46,29,0,4,13,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-rtk,0,5,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carla-simulation,0,2,2,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cdasim,37,16,13,25,11,14,15,15,100%,15,100%,50%,22,204,142,62,5,12,26,11,15,0,0,0,0,0,4,4,0,0,1,2,2,2,0,0
ads-traffic-regs,3,13,1,0,0,0,0,0,N/A,0,N/A,N/A,N/A,1,1,0,1,N/A,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cav-education,3,9,3,0,0,0,0,0,N/A,0,N/A,N/A,N/A,21,17,4,1,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-analytics-fotda,3,12,3,3,3,0,2,2,100%,2,100%,0%,9,90,71,19,4,3,15,13,2,0,0,0,0,0,8,8,0,0,7,1,4,4,0,0
carma-validation,0,8,1,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
