Repo Name,Stars,Watches,Forks,Issues,Issues (Internal),Issues (External),Open Issues,Stale Issues (No activity for >14 days),% Stale Issues,Old Issues (Open for >120 days),% Old Issues,% Issues Closed by Pull Request,Average Issue Open Time (Days),Pull Requests,Pull Requests (Internal),Pull Requests (External),Open Pull Requests,Average Pull Request Time to Merge (Days),Contributors (All Time),Contributors (All Time - Internal),Contributors (All Time - External),Issues Opened,Issues Opened (Internal),Issues Opened (External),Issues Opened (First Time Contributor),Issues Closed,Pull Requests Opened,Pull Requests Opened (Internal),Pull Requests Opened (External),Pull Requests Opened (First Time Contributor),Pull Requests Merged,Pull Requests Closed,Contributors (This Period),Contributors (This Period - Internal),Contributors (This Period - External),Contributors (This Period - First Time Contributor)
WxDE,0,14,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,22,15,7,2,9,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-cloud,25,12,15,13,12,1,7,7,100%,7,100%,0%,35,55,49,6,1,9,14,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-platform,411,47,119,1135,618,517,265,262,99%,262,99%,14%,96,1308,751,552,8,5,51,22,29,2,2,0,0,1,20,20,0,0,12,2,3,3,0,0
CARMAConcept,2,9,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-msgs,6,9,9,13,0,13,4,4,100%,4,100%,67%,15,239,114,125,0,3,31,14,17,0,0,0,0,0,3,2,1,0,2,0,2,1,1,0
carma-utils,2,10,5,23,7,16,6,6,100%,6,100%,65%,8,210,97,112,3,4,24,12,12,0,0,0,0,0,2,2,0,0,1,0,1,1,0,0
carma-torc-pinpoint-driver,1,9,2,1,1,0,0,0,N/A,0,N/A,0%,0,46,26,20,1,1,16,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-torc-xgv-controller-driver,1,10,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,18,4,14,0,1,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-cadillac-srx-2013-controller-driver,0,9,1,0,0,0,0,0,N/A,0,N/A,N/A,N/A,24,6,18,0,1,8,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-freightliner-2012-controller-driver,0,9,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,19,4,15,0,1,7,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
